EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:55:44	0.0050	0.1652	0.0963	0.6667	0.0061	0.0121	0.0061
2	10:58:05	0.0050	0.0981	1.2906	0.0289	0.6000	0.0551	0.0289
3	11:00:22	0.0050	0.0852	0.7999	0.0658	0.7313	0.1207	0.0658
4	11:02:40	0.0050	0.0822	0.5549	0.1008	0.7557	0.1779	0.1008
5	11:05:01	0.0050	0.0844	0.3334	0.1809	0.8427	0.2978	0.1802
6	11:07:19	0.0050	0.0757	0.3671	0.1415	0.7664	0.2389	0.1411
7	11:09:29	0.0050	0.0674	0.2149	0.1945	0.7710	0.3106	0.1921
8	11:11:46	0.0050	0.0594	0.1939	0.2186	0.7786	0.3414	0.2160
9	11:14:02	0.0050	0.0608	0.1498	0.3054	0.8076	0.4432	0.2982
10	11:16:20	0.0050	0.0603	0.1616	0.2346	0.7847	0.3612	0.2317
11	11:18:29	0.0050	0.0570	0.2068	0.1973	0.7802	0.3149	0.1965
12	11:20:23	0.0050	0.0561	0.2452	0.1864	0.8046	0.3027	0.1862
13	11:22:17	0.0050	0.0590	0.2026	0.2210	0.7863	0.3451	0.2201
14	11:24:12	0.0025	0.0554	0.1943	0.2147	0.7679	0.3356	0.2139
15	11:26:16	0.0025	0.0523	0.1887	0.2043	0.7786	0.3237	0.2037
16	11:28:21	0.0025	0.0495	0.1545	0.2380	0.7847	0.3652	0.2364
17	11:30:27	0.0025	0.0487	0.1544	0.2344	0.7664	0.3590	0.2323
18	11:32:31	0.0013	0.0489	0.1337	0.2510	0.7664	0.3782	0.2478
19	11:34:35	0.0013	0.0518	0.1224	0.2825	0.7664	0.4128	0.2764
20	11:36:39	0.0013	0.0520	0.1568	0.2147	0.7450	0.3333	0.2121
21	11:38:42	0.0013	0.0498	0.1772	0.1891	0.7664	0.3033	0.1881
22	11:40:45	0.0006	0.0460	0.1558	0.2234	0.7618	0.3454	0.2211
23	11:42:47	0.0006	0.0471	0.1546	0.2126	0.7573	0.3320	0.2106
24	11:44:50	0.0006	0.0450	0.1578	0.2114	0.7542	0.3302	0.2094
25	11:46:52	0.0006	0.0451	0.1481	0.2266	0.7618	0.3493	0.2241
26	11:48:55	0.0003	0.0433	0.1314	0.2586	0.7573	0.3855	0.2544
27	11:50:57	0.0003	0.0443	0.1300	0.2628	0.7679	0.3916	0.2591
28	11:53:00	0.0003	0.0427	0.1267	0.2630	0.7557	0.3902	0.2588
29	11:55:02	0.0003	0.0434	0.1244	0.2675	0.7481	0.3940	0.2625
30	11:57:05	0.0002	0.0426	0.1353	0.2423	0.7542	0.3667	0.2386
31	11:59:07	0.0002	0.0432	0.1383	0.2357	0.7527	0.3589	0.2321
32	12:01:10	0.0002	0.0433	0.1423	0.2234	0.7511	0.3444	0.2207
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:40:49	0.0050	0.1446	0.0658	0.5768	0.3038	0.3980	0.2803
2	15:42:38	0.0050	0.0709	0.0571	0.7271	0.5450	0.6230	0.4870
3	15:44:29	0.0050	0.0592	0.0540	0.7792	0.6626	0.7162	0.5889
4	15:46:19	0.0050	0.0520	0.0515	0.8098	0.7344	0.7702	0.6422
5	15:48:11	0.0050	0.0458	0.0503	0.7994	0.7542	0.7761	0.6449
6	15:50:01	0.0050	0.0425	0.0501	0.7896	0.7679	0.7786	0.6465
7	15:51:52	0.0050	0.0383	0.0499	0.7706	0.7847	0.7776	0.6449
8	15:53:36	0.0050	0.0348	0.0502	0.7740	0.7893	0.7816	0.6503
9	15:55:27	0.0050	0.0320	0.0503	0.7576	0.8015	0.7789	0.6473
10	15:57:11	0.0050	0.0293	0.0507	0.7465	0.8092	0.7766	0.6448
11	15:58:55	0.0050	0.0291	0.0508	0.7451	0.8168	0.7793	0.6469
12	16:00:39	0.0050	0.0272	0.0506	0.7479	0.8198	0.7822	0.6493
13	16:02:30	0.0050	0.0268	0.0512	0.7462	0.8214	0.7820	0.6498
14	16:04:14	0.0050	0.0249	0.0515	0.7428	0.8244	0.7815	0.6490
15	16:05:57	0.0050	0.0236	0.0516	0.7431	0.8168	0.7782	0.6454
16	16:07:41	0.0050	0.0230	0.0519	0.7431	0.8168	0.7782	0.6454
17	16:09:25	0.0025	0.0211	0.0523	0.7387	0.8198	0.7771	0.6439
18	16:11:09	0.0025	0.0198	0.0526	0.7415	0.8275	0.7821	0.6499
19	16:12:53	0.0025	0.0193	0.0529	0.7388	0.8290	0.7813	0.6487
20	16:14:38	0.0025	0.0183	0.0532	0.7408	0.8290	0.7824	0.6503
21	16:16:29	0.0025	0.0181	0.0533	0.7442	0.8305	0.7850	0.6523
22	16:18:19	0.0025	0.0178	0.0538	0.7375	0.8321	0.7819	0.6480
23	16:20:03	0.0025	0.0166	0.0543	0.7345	0.8321	0.7802	0.6457
24	16:21:47	0.0025	0.0167	0.0541	0.7375	0.8321	0.7819	0.6480
25	16:23:31	0.0025	0.0160	0.0549	0.7349	0.8336	0.7811	0.6469
26	16:25:15	0.0013	0.0149	0.0551	0.7349	0.8336	0.7811	0.6469
27	16:26:58	0.0013	0.0146	0.0555	0.7339	0.8336	0.7806	0.6462
28	16:28:42	0.0013	0.0148	0.0556	0.7339	0.8336	0.7806	0.6462
29	16:30:25	0.0013	0.0145	0.0559	0.7335	0.8321	0.7797	0.6450
30	16:32:09	0.0006	0.0141	0.0560	0.7329	0.8336	0.7800	0.6454
31	16:33:53	0.0006	0.0138	0.0562	0.7323	0.8351	0.7803	0.6458
32	16:35:37	0.0006	0.0133	0.0564	0.7326	0.8366	0.7812	0.6470
33	16:37:21	0.0006	0.0135	0.0566	0.7326	0.8366	0.7812	0.6470
34	16:39:05	0.0003	0.0129	0.0566	0.7326	0.8366	0.7812	0.6470
35	16:40:48	0.0003	0.0132	0.0567	0.7326	0.8366	0.7812	0.6470
36	16:42:32	0.0003	0.0129	0.0567	0.7326	0.8366	0.7812	0.6470
37	16:44:16	0.0003	0.0130	0.0567	0.7326	0.8366	0.7812	0.6470
38	16:46:01	0.0002	0.0123	0.0568	0.7330	0.8382	0.7821	0.6482
39	16:47:44	0.0002	0.0130	0.0568	0.7330	0.8382	0.7821	0.6482
40	16:49:27	0.0002	0.0123	0.0569	0.7330	0.8382	0.7821	0.6482
